ccn,hospital_name,state,old_finding,status,website,pointer,identity,file_access,metadata,pointer_url,mrf_url,date,version,source_page,checked_at
100135,TALLAHASSEE MEMORIAL HEALTHCARE,FL,mrf-stale-over-365-days,publisher-date-review,host returned pointer,entries retrieved,corroborated,response received,date-over-365-days,https://www.tmh.org/sites/default/files/price-transparency/cms-hpt.txt,https://www.tmh.org/sites/default/files/price-transparency/591917016_tallahassee-memorial-hospital_standardcharges.csv,2025-05-15,2.0.0,https://www.tmh.org/patients-and-visitors/billing-and-financial-assistance-information#standardrates,2026-09-09T01:48:00.044Z
110024,CANDLER HOSPITAL,GA,mrf-stale-over-365-days,publisher-date-review,host returned pointer,entries retrieved,corroborated,response received,date-over-365-days,https://www.sjchs.org/cms-hpt.txt,https://www.sjchs.org/docs/default-source/default-document-library/580593388_candler-hospital_standardcharges293f9cd3-a627-4d74-aabc-b691b192010e.json,2025-07-01,2.2.0,https://www.sjchs.org/pay-my-bill,2026-09-09T01:48:00.077Z
110146,SOUTHEAST GEORGIA HEALTH SYSTEM -- CAMDEN CAMPUS,GA,mrf-stale-over-365-days,publisher-date-review,host returned pointer,entries retrieved,corroborated,response received,date-over-365-days,https://www.sghs.org/cms-hpt.txt,https://res.cloudinary.com/dpmykpsih/raw/upload/southeast-georgia-site-441/media/r/2b7af40f710742bdb73b6db38189c1a2/581911751_southeast-georgia-health-system-camden-campus_standardcharges.csv,2025-01-28,2.0.0,https://www.sghs.org/patients-visitors/billing-information/understanding-health-care-pricing/,2026-09-09T01:48:01.109Z
110025,SOUTHEAST GEORGIA HEALTH SYSTEM- BRUNSWICK CAMPUS,GA,mrf-stale-over-365-days,publisher-date-review,host returned pointer,entries retrieved,corroborated,response received,date-over-365-days,https://www.sghs.org/cms-hpt.txt,https://res.cloudinary.com/dpmykpsih/raw/upload/southeast-georgia-site-441/media/r/3973089e73b74845a679c5863cedd135/581911751_southeast-georgia-health-system-brunswick-campus_standardcharg.csv,2025-01-01,2.0.0,https://www.sghs.org/patients-visitors/billing-information/understanding-health-care-pricing/,2026-09-09T01:48:01.189Z
161350,STEWART MEMORIAL COMMUNITY HOSPITAL,IA,mrf-stale-over-365-days,publisher-date-review,host returned pointer,entries retrieved,corroborated,response received,date-over-365-days,https://stewartmemorial.org/cms-hpt.txt,https://www.stewartmemorial.org/wp-content/uploads/2025/12/420860039_Stewart-Memorial-Community-Hospital_StandardCharges.csv,2024-10-08,2.0.0,https://www.stewartmemorial.org/patients/price-transparency/,2026-09-09T01:48:03.889Z
130063,TREASURE VALLEY HOSPITAL,ID,mrf-stale-over-365-days,publisher-date-review,host returned pointer,entries retrieved,corroborated,response received,date-over-365-days,https://treasurevalleyhospital.com/cms-hpt.txt,https://cdn.sanity.io/files/rlbzokv7/production/063a7fda12ee958c90577c83cec3c34abe54407c.csv,2024-07-01,2.0.0,https://treasurevalleyhospital.com/price-transparency/,2026-09-09T01:48:03.989Z
140082,LOUIS A WEISS MEMORIAL HOSPITAL,IL,mrf-stale-over-365-days,publisher-date-review,host returned pointer,entries retrieved,corroborated,response received,date-over-365-days,https://www.weisshospital.com/8453_Weiss%20Memorial%20Hospital_2025-04-01.txt,https://sthpiprd.blob.core.windows.net/machine-readable-files/12711/352637418_resilience-healthcare-weiss-memorial-hospital-llc_standardcharges.csv,2025-03-17,2.0.0,https://search.hospitalpriceindex.com/hpi2/machineReadable/WeissMemorialHospital/12711,2026-09-09T01:48:06.392Z
141302,MIDWEST MEDICAL CENTER,IL,mrf-stale-over-365-days,publisher-date-review,host returned pointer,entries retrieved,corroborated,response received,date-over-365-days,https://www.midwestmedicalcenter.org/cms-hpt.txt,https://www.midwestmedicalcenter.org/content/pdfs/204560540_midwest-medical-center_standardcharges.csv,2025-01-02,2.0.0,https://www.midwestmedicalcenter.org/patients-visitors/standard-charges,2026-09-09T01:48:06.716Z
154009,HAMILTON CENTER INC,IN,old-template-version,publisher-template-review,host returned pointer,entries retrieved,corroborated,response received,date-within-365-days-older-version,https://hamiltoncenter.org/cms-hpt.txt,https://www.hamiltoncenter.org/351140758_hamilton-center-inc-_standardcharges/,2026-02-09,2,https://www.hamiltoncenter.org/price-transparency/,2026-09-09T01:48:16.683Z
154050,NORTHEASTERN CENTER,IN,old-template-version,publisher-template-review,host returned pointer,entries retrieved,corroborated,response received,date-within-365-days-older-version,https://nec.org/cms-hpt.txt,https://www.nec.org/wp-content/uploads/2026/06/351403134_Northeastern-Center_standardcharges-1.csv,2026-06-01,2.0.0,https://www.nec.org/about-northeastern-center/price-transparency/,2026-09-09T01:48:18.422Z
