ccn,hospital_name,address,city,state,zip,phone,type,seeded_domain,pointer_status,remediation,reason,exa_query,resolved_domain
451307,IRAAN GENERAL HOSPITAL,600 HIGHWAY 349 NORTH,IRAAN,TX,79744,hpt-obf:v1:M7Uxn93kibB6gns1.vuOX_o7xj72glJqTDQYkLA.FoRP5YYgmF4zntOiwJU,Critical Access Hospitals,,no-domain,exa-domain-lookup,no domain in the seed dataset,IRAAN GENERAL HOSPITAL hospital IRAAN TX official website,
451313,FISHER COUNTY HOSPITAL DISTRICT,774 STATE HIGHWAY 70 N,ROTAN,TX,79546,hpt-obf:v1:ccteJaSibX0lwILk.pUcX3tpMpKPIA7FNXoDqPg.v_DUyUFo4U_Vx7FtQHc,Critical Access Hospitals,,no-domain,exa-domain-lookup,no domain in the seed dataset,FISHER COUNTY HOSPITAL DISTRICT hospital ROTAN TX official website,
451315,NORTH RUNNELS HOSPITAL,7821 EAST HIGHWAY 153,WINTERS,TX,79567,hpt-obf:v1:TvMRB3694Ktrg11g.HvTIPgnduqrIg2qkB8i15w.ast326_h4R9khRtHlUs,Critical Access Hospitals,,no-domain,exa-domain-lookup,no domain in the seed dataset,NORTH RUNNELS HOSPITAL hospital WINTERS TX official website,
451320,BAYSIDE COMMUNITY HOSPITAL,200 HOSPITAL DRIVE,ANAHUAC,TX,77514,hpt-obf:v1:3pHOdLp1i4ZhJAWZ.nLw_En55iCD_ie0yXVnTwA.k11h47WzR8km8KcAMqQ,Critical Access Hospitals,,no-domain,exa-domain-lookup,no domain in the seed dataset,BAYSIDE COMMUNITY HOSPITAL hospital ANAHUAC TX official website,
451329,RANKIN HOSPITAL MEDICAL CLINIC,1611 SPUR 576,RANKIN,TX,79778,hpt-obf:v1:BKbeaeCrx03yKfim.vBw5fa00K_PdBmlLzgYRtg.78wuyOe5OlsBKjCuohY,Critical Access Hospitals,,no-domain,exa-domain-lookup,no domain in the seed dataset,RANKIN HOSPITAL MEDICAL CLINIC hospital RANKIN TX official website,
451332,PALACIOS COMMUNITY MEDICAL CENTER,311 GREEN AVENUE,PALACIOS,TX,77465,hpt-obf:v1:9aOmDx7RlAA6-e_9.wIs6bhUvS4VWlkfBXYYQ-A.E1ayrPucO4WUYSoe0VA,Critical Access Hospitals,,no-domain,exa-domain-lookup,no domain in the seed dataset,PALACIOS COMMUNITY MEDICAL CENTER hospital PALACIOS TX official website,
451338,CULBERSON HOSPITAL,EISENHOWER ROAD AND FM 2185,VAN HORN,TX,79855,hpt-obf:v1:KmNSL6QSQFxT625Y.nvUszeK9n_s9vggpA3gJ1Q.70MD0ABvCpPjenQV-OY,Critical Access Hospitals,culbersonhospital.org,html,exa-domain-lookup,pointer fetch failed (html); domain is likely wrong or stale,CULBERSON HOSPITAL hospital VAN HORN TX official website,
451340,SHAMROCK GENERAL HOSPITAL,1000 SOUTH MAIN STREET,SHAMROCK,TX,79079,hpt-obf:v1:binOqklHngdNQAUX.04H3uSYKfwKK4NjdyaxoFg.ne6x_SeYc0izLQXqb7w,Critical Access Hospitals,,no-domain,exa-domain-lookup,no domain in the seed dataset,SHAMROCK GENERAL HOSPITAL hospital SHAMROCK TX official website,
451342,MITCHELL COUNTY HOSPITAL DISTRICT,997 WEST I-20,COLORADO CITY,TX,79512,hpt-obf:v1:DgzoSOKM9-IUjOBL.Dl3UuKl2W9T_5uroJrOlvw.7an5Yv2Js6ewddf80zk,Critical Access Hospitals,,no-domain,exa-domain-lookup,no domain in the seed dataset,MITCHELL COUNTY HOSPITAL DISTRICT hospital COLORADO CITY TX official website,
451343,ELECTRA MEMORIAL HOSPITAL,1207 S BAILEY STREET,ELECTRA,TX,76360,hpt-obf:v1:AB1s75JVYF0DVqde.3D4EcZabGmL6yXSL2nzLOQ.f_e5lL1G4ISOHoiH5xs,Critical Access Hospitals,,no-domain,exa-domain-lookup,no domain in the seed dataset,ELECTRA MEMORIAL HOSPITAL hospital ELECTRA TX official website,
451344,HANSFORD COUNTY HOSPITAL,707 ROLAND ST,SPEARMAN,TX,79081,hpt-obf:v1:iqrrsQkuOKCQJEO1.gdcRgpEZ58Y8KHAVAIi_2w.yA8RpwkckxoquCRyhRo,Critical Access Hospitals,,no-domain,exa-domain-lookup,no domain in the seed dataset,HANSFORD COUNTY HOSPITAL hospital SPEARMAN TX official website,
451346,YOAKUM COMMUNITY HOSPITAL,1200 CARL RAMERT DRIVE,YOAKUM,TX,77995,hpt-obf:v1:zL_c1t6rpKjasBM1.SKLPJW2Qm9C9bVIxp34iTQ.15Zt7dm2C3VM6-wva5o,Critical Access Hospitals,,no-domain,exa-domain-lookup,no domain in the seed dataset,YOAKUM COMMUNITY HOSPITAL hospital YOAKUM TX official website,
